 ,X,Y,r,u,v,h,k,l,v_rounded,u_rounded,n,lambda_exp,lambda_the,lambda_error
1,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,
2,-0.00537075,0.00532125,0.007560466726664432,2.810405540613707,-2.7845031854006774,3.0,-3.0,1.0,-3.0,3.0,19.0,6.094265946433396e-11,5.705263157894736e-11,6.818314559256956
3,-0.00111375,0.00621225,0.006311298529225186,0.8208419712771233,-4.578474106456844,1.0,-9.0,1.0,-4.5,1.0,83.0,2.5008544164781796e-11,1.3060240963855422e-11,91.48608539454696
4,0.00126225,0.00641025,0.0065333437170410685,-0.8708655528344893,-4.422630944786917,-1.0,-9.0,1.0,-4.5,-1.0,83.0,2.577011051139727e-11,1.3060240963855422e-11,97.31726683080934
5,0.00571725,0.00581625,0.00815571649979326,-2.5959928077931567,-2.6409450642051597,-5.0,-5.0,2.0,-2.5,-2.5,54.0,3.8456559555766116e-11,4.014814814814814e-11,4.213366420139729
6,0.00670725,0.00126225,0.006824989203288163,-4.258584220926799,-0.8014309788460027,-9.0,-1.0,2.0,-1.0,-4.5,86.0,2.6283955535138378e-11,2.5209302325581395e-11,4.262923248242647
7,0.00670725,-0.00121275,0.0068160080050569186,-4.269246481771714,0.7719301756709004,-9.0,1.0,2.0,1.0,-4.5,86.0,2.6254428991313047e-11,2.5209302325581395e-11,4.1457976592676244
8,0.00561825,-0.00556875,0.007910480998333793,-2.7007058706978544,2.6769111053172567,-5.0,5.0,2.0,2.5,-2.5,54.0,3.751736764908279e-11,4.014814814814814e-11,6.552682054867563
9,0.00116325,-0.00616275,0.006271573815638304,-0.8677373963636555,4.597161950947877,-1.0,9.0,1.0,4.5,-1.0,83.0,2.487121894914894e-11,1.3060240963855422e-11,90.43461003499648
10,-0.0011750689999999995,-0.006066490000000002,0.006179246562070575,0.9017891886450331,4.655637324296029,1.0,9.0,1.0,4.5,1.0,83.0,2.455079321838748e-11,1.3060240963855422e-11,87.98116578654619
11,-0.01097504,-8.127100000000064e-05,0.01097534090482118,2.8963472012877753,0.02144766974843469,3.0,0.0,1.0,0.0,3.0,10.0,1.1186982854612713e-10,1.0839999999999998e-10,3.2009488432907274
12,-0.015250197,0.0021549629999999998,0.01540170036295272,2.2381488978693396,-0.31626660713951465,2.0,-1.0,1.0,-0.5,2.0,6.0,1.7904272744599672e-10,1.806666666666667e-10,0.8988593472342985
13,-0.015118653000000001,-0.0021201949999999996,0.015266594098633592,2.251817389574521,0.315788183662192,5.0,1.0,2.0,0.5,2.5,30.0,7.967312730570641e-11,7.226666666666667e-11,10.248792397195214
14,-0.011172356,0.011034131,0.01570266173347363,1.5875612690958396,-1.5679198741724438,3.0,-3.0,2.0,-1.5,1.5,22.0,9.451782227784308e-11,9.854545454545454e-11,4.087080714365876
15,-0.013211276000000001,0.012875737000000002,0.018447829597037835,1.4424938540374583,-1.4058575029923457,3.0,-3.0,2.0,-1.5,1.5,22.0,1.0276893445096188e-10,9.854545454545454e-11,4.285819092304495
16,-0.00012272299999999814,0.011757622000000002,0.011758262457931998,0.028655591181679384,-2.7453827668874187,0.0,-5.0,1.0,-2.5,0.0,26.0,7.275550569188022e-11,4.1692307692307696e-11,74.50582546022927
17,-0.0024247299999999995,0.015901233999999997,0.016085041445257638,0.3310498423521544,-2.1710050227879876,1.0,-2.0,2.0,-2.0,0.5,9.0,1.4974073907518636e-10,2.4088888888888887e-10,37.838254073954
18,8.822000000000116e-06,0.020965649000000006,0.02096565085607612,-0.0007869558429113988,-1.8702153685081968,0.0,-2.0,1.0,-2.0,0.0,5.0,2.2858553325887272e-10,2.168e-10,5.436131576970817
19,0.002310826000000001,0.016164318,0.016328658646912797,-0.307752265500069,-2.152739100548264,-1.0,-2.0,2.0,-2.0,-0.5,9.0,1.5096237739097778e-10,2.4088888888888887e-10,37.33111639673431
20,-0.005515996,0.013138824,0.014249733610667675,0.9229693618325925,-2.1984664242886964,1.0,-2.0,1.0,-2.0,1.0,6.0,1.711586387980743e-10,1.806666666666667e-10,5.26274605272641
21,-0.007752231,0.015375061000000002,0.017218872966343706,0.9463049704860895,-1.8768141256145265,1.0,-2.0,1.0,-2.0,1.0,6.0,1.9012410746523883e-10,1.806666666666667e-10,5.234745829467973
22,0.007967186000000001,0.015901233999999997,0.01778553613140048,-0.9227042787559837,-1.8415707439615594,-1.0,-2.0,1.0,-2.0,-1.0,6.0,1.9327399346578113e-10,1.806666666666667e-10,6.978225165561498
23,0.005994038,0.013862313999999999,0.015102722965744952,-0.9090828889103909,-2.1024211821985372,-1.0,-2.0,1.0,-2.0,-1.0,6.0,1.7706453437947358e-10,1.806666666666667e-10,1.9938001589629761
24,0.011979257000000005,-8.127100000000064e-05,0.011979532680680418,-2.7067023542877435,0.01836310941783124,-5.0,0.0,2.0,0.0,-2.5,29.0,6.975849274844759e-11,7.475862068965518e-11,6.6883630209880085
25,-5.695000000000073e-05,-0.011262448999999999,0.011262592986524062,0.014352622847459966,2.8383789786786755,0.0,3.0,1.0,3.0,0.0,10.0,1.1390601528748157e-10,1.0839999999999998e-10,5.07934989620073
26,0.0019819700000000013,-0.015406062,0.015533027761152814,-0.28677984454936234,2.229170000291546,-1.0,2.0,2.0,2.0,-0.5,9.0,1.46885391573073e-10,2.4088888888888887e-10,39.023592059148655
27,-0.002293187999999998,-0.015274518,0.015445698797259644,0.3349512659245615,2.231050895298382,1.0,2.0,2.0,2.0,0.5,9.0,1.4642229503381952e-10,2.4088888888888887e-10,39.21583693245499
28,-0.00012272299999999814,-0.019878532,0.01987891082050908,0.011898669556005468,1.9273329655116327,0.0,2.0,1.0,2.0,0.0,5.0,2.2326197593457897e-10,2.168e-10,2.9806162059866157
29,0.016385955999999997,0.002352277000000002,0.016553934913447765,-2.1335216387600084,-0.30627653826590784,-2.0,-1.0,1.0,-0.5,-2.0,6.0,1.8624901863518573e-10,1.806666666666667e-10,3.0898627132024203
30,0.016254410999999993,-0.0025148229999999968,0.01644780263981331,-2.13893235691485,0.3309277885623582,-2.0,1.0,1.0,0.5,-2.0,6.0,1.856118969127312e-10,1.806666666666667e-10,2.73721231331984
31,0.007506785000000004,-0.015340290000000001,0.01707853384574698,-0.9286673909851452,1.8977534445512303,-1.0,2.0,1.0,2.0,-1.0,6.0,1.8932267548047362e-10,1.806666666666667e-10,4.791148789930036
32,0.0055994100000000034,-0.013235598,0.014371306369488615,-0.9234980795421933,2.182917367114122,-1.0,2.0,1.0,2.0,-1.0,6.0,1.720247884401801e-10,1.806666666666667e-10,4.783327431634646
33,0.011321542000000002,-0.011525536,0.01615596773161732,-1.5345176022308011,1.5621668733061957,-3.0,3.0,2.0,1.5,-1.5,22.0,9.600351060335998e-11,9.854545454545454e-11,2.5794634098745552
34,-0.0051213679999999985,-0.005277230999999999,0.007353745795088716,2.8234928547813083,2.909422642842776,3.0,3.0,1.0,3.0,3.0,19.0,5.95550290529188e-11,5.705263157894736e-11,4.386121033713767
35,-0.0058448549999999995,-0.0011336179999999986,0.005953773571521594,4.816939153487478,0.9342522490802873,5.0,1.0,1.0,1.0,5.0,27.0,4.1660128673760165e-11,4.0148148148148147e-11,3.766003154199677
36,-0.005910624,0.0013657029999999976,0.006066351519124571,4.699156761487822,-1.0857825648584976,9.0,-1.0,2.0,-1.0,4.5,86.0,2.373152926458305e-11,2.5209302325581395e-11,5.862014909864284
37,-0.014724023000000001,-0.007381922999999999,0.016470872486983135,1.9330771602674235,0.9691527071203825,2.0,1.0,1.0,1.0,2.0,6.0,1.857508328603931e-10,1.806666666666667e-10,2.81411412936886
38,-0.019919982,-8.127100000000064e-05,0.019920147786996082,1.9250568856100532,0.007853987927821212,2.0,0.0,1.0,0.0,2.0,5.0,2.2347177060791634e-10,2.168e-10,3.0773849667510826
39,0.013886632000000005,0.006035488999999998,0.015141521580493327,-2.097054278535088,-0.9114339625692861,-2.0,-1.0,1.0,-1.0,-2.0,6.0,1.773238712210961e-10,1.806666666666667e-10,1.8502557816811354
